"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"204094_s_at",1.70971799311891,10.1476086002849,9.9442396762442,3.55156563458837e-11,3.29659281840521e-08,15.4333836159812
"205027_s_at",1.71789593344965,7.61859332710876,9.82978069389826,4.67873384144165e-11,4.0432699985367e-08,15.1724740738382
"202340_x_at",1.29596912935265,8.07076633406177,9.81985125257448,4.79234641934873e-11,4.0432699985367e-08,15.1497501464449
"216598_s_at",2.88277309320913,9.70790276277751,9.81062058325759,4.90049333215832e-11,4.0432699985367e-08,15.1286125298753
"205193_at",2.1378174417433,8.31063780000246,9.57042899556625,8.79282582227448e-11,6.99563503010031e-08,14.5742315918902
"201473_at",1.45673103199831,8.4185382476968,9.53961039586079,9.48292534779745e-11,7.28452165423737e-08,14.5024919701181
"201464_x_at",2.36281112736695,10.7967204941703,9.40194963789484,1.33099671669016e-10,9.88353795256886e-08,14.1803567215868
"202638_s_at",2.04111240359977,8.42558246298898,9.38512878251603,1.38752820617737e-10,9.97095672548816e-08,14.1408057238566
"221841_s_at",1.96397120384183,10.2963959332734,9.23639029097163,2.0076271436835e-10,1.39762218374492e-07,13.7892854866941
"210538_s_at",3.03631251848434,8.93435281159123,9.19586520628927,2.22134266616973e-10,1.49954092649282e-07,13.6929536255416
"36711_at",3.28077529223839,8.20679311816277,9.14680979015425,2.51142960755683e-10,1.56899091737896e-07,13.5760255898251
"204794_at",1.09151322771012,7.0546706831479,9.14520187473603,2.52156724662691e-10,1.56899091737896e-07,13.5721870714409
"202068_s_at",1.65610112083253,10.6480737680572,9.12642102837694,2.64311821100571e-10,1.56899091737896e-07,13.5273244874375
"202431_s_at",2.04347533253124,10.1883387176217,9.12576511329346,2.64746984240108e-10,1.56899091737896e-07,13.5257567522691
"205249_at",2.62769632147856,7.28718343604502,9.12143569281923,2.67637719892267e-10,1.56899091737896e-07,13.5154072261759
"213281_at",1.74159495112806,6.59328190025925,9.04805987405854,3.21841891517007e-10,1.81541139602419e-07,13.3395887766567
"209545_s_at",1.0633905167477,8.14835351626552,9.04299887790263,3.25970533918246e-10,1.81541139602419e-07,13.3274332232031
"218810_at",1.85846373696095,6.8810520609629,9.03021828218373,3.36638971682139e-10,1.82909911516171e-07,13.296720172433
"208961_s_at",2.10512196734011,10.0958734035679,8.98185873340623,3.80337677372778e-10,2.01732915210318e-07,13.1802937547639
"208786_s_at",1.41730266049085,9.48175669405271,8.83216090062647,5.56019727435941e-10,2.88057010885824e-07,12.817756966587
"38037_at",1.20914997746602,7.313324978618,8.73559590666726,7.11458605176517e-10,3.6020825789812e-07,12.5821893619866
"202081_at",1.45156247730845,10.7872436083075,8.67715950217181,8.26404970946169e-10,4.09107189728174e-07,12.4389879835812
"213056_at",1.42156265075748,9.63582612047387,8.62177116047566,9.52843036829842e-10,4.61445311553443e-07,12.302807041488
"203821_at",1.3313366338028,7.1759017431994,8.60623339275419,9.91737574745096e-10,4.64474069224276e-07,12.2645267029209
"218611_at",1.47251178159989,8.69061509401765,8.60270352243328,1.00079702485816e-09,4.64474069224276e-07,12.2558254001258
"201631_s_at",1.69331863942646,9.87916702437568,8.55201739202896,1.14059412598755e-09,5.1855133356377e-07,12.1306869411946
"206932_at",3.16386295196953,6.76351675392022,8.53329518413529,1.19713361987967e-09,5.33370913001186e-07,12.0843719626568
"210001_s_at",1.7444801378311,7.34372694212021,8.52479639227121,1.22373422896514e-09,5.34531910169734e-07,12.0633313242586
"220987_s_at",0.982037736646855,7.23178687366016,8.4875208786035,1.34771096141984e-09,5.77364559375959e-07,11.9709272404989
"204621_s_at",2.55502369984151,7.36110672458983,8.44380267564767,1.5095553675353e-09,6.27363720744975e-07,11.8623029158768
"206115_at",2.42355106116018,6.48587013527204,8.44095893777085,1.52074520448124e-09,6.27363720744975e-07,11.8552279318058
"204622_x_at",3.1782021016183,7.7726949537801,8.37188046350531,1.82015078816248e-09,7.34688410072587e-07,11.6830185646726
"203574_at",1.79728781648858,11.1852014102627,8.36629093440625,1.84686227786797e-09,7.34688410072587e-07,11.6690549716852
