"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"202434_s_at",0.0224065406998006,4.25723344167591,0.316689267623211,0.753596247976252,0.938492293999517,-6.52632410746631
"200986_at",-0.0324909511859826,12.904222693405,-0.316684942766109,0.753599498683025,0.938492293999517,-6.52632548975756
"214647_s_at",-0.0468561577622539,4.5849339622461,-0.316635945908857,0.753636326674215,0.938492293999517,-6.52634114860145
"220765_s_at",0.0355595428441307,7.08022487101234,0.31661707486865,0.753650511057144,0.938492293999517,-6.52634717893137
"222115_x_at",-0.0349396412575231,6.24298161458348,-0.316583947498653,0.753675411395222,0.938492293999517,-6.52635776407516
"203405_at",0.0568876317049423,10.2450865892953,0.316511246107641,0.753730058667696,0.938507882004375,-6.52638099039532
"204829_s_at",-0.0565584340134215,8.0998914218021,-0.316431269354102,0.753790176088144,0.938530279047372,-6.52640653489478
"220484_at",0.0218099433871402,4.28169133450402,0.316365026448944,0.75383997114976,0.938534329886583,-6.52642768796021
"202368_s_at",-0.0405119252038286,7.55328234895327,-0.316314849676218,0.75387768994885,0.938534329886583,-6.52644370776731
"214806_at",0.0208125036533682,4.59700624554957,0.316116586371435,0.754026734130714,0.938547667142586,-6.52650698208075
"220536_at",0.0344586177413984,6.87609236524651,0.316079495791639,0.754054617993262,0.938547667142586,-6.52651881489725
"203872_at",0.0224955257245458,4.36893267897643,0.315882154272737,0.754202980557083,0.938547667142586,-6.52658174855147
"213317_at",-0.0207375540400574,3.76505613360149,-0.315861799664765,0.754218283817602,0.938547667142586,-6.52658823756338
