"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"208848_at",-0.299979553475254,10.2747949185511,-1.91265935728593,0.0627683206844527,0.305780091216108,-4.77094342069662
"203691_at",0.128412948992262,5.50942643230764,1.9126448855284,0.0627702274602173,0.305780091216108,-4.77096886366537
"219114_at",-0.146084870887784,6.48601996564743,-1.91252223097391,0.0627863902230016,0.305791957804505,-4.77118449765485
"208479_at",0.121904740386787,5.70561651080312,1.9123756000472,0.0628057171452717,0.305819226414255,-4.77144226841277
"208659_at",0.265695125312099,10.5234888878047,1.91167797795473,0.0628977381875136,0.306140498945295,-4.77266843203477
"213401_s_at",-0.157661845577049,5.37803855508091,-1.91166704389152,0.0628991813831583,0.306140498945295,-4.77268764713858
"213089_at",0.368155247636657,7.19055756834832,1.91079011056506,0.06301502095305,0.306574637233264,-4.77422843798063
"220113_x_at",0.286918291709209,8.14177904920039,1.91072992140724,0.0630229784128338,0.306574637233264,-4.77433417003021
"218058_at",-0.1411883924812,6.98705338709075,-1.91067268128156,0.0630305467871677,0.306574637233264,-4.77443471905022
"201062_at",-0.0975779781078279,4.03362380537089,-1.91050765202199,0.0630523715603987,0.306574637233264,-4.77472459832354
"213239_at",-0.277254152917337,7.83509173977995,-1.91046054169396,0.0630586029903858,0.306574637233264,-4.7748073453218
"214812_s_at",-0.140742872101063,8.82840042458066,-1.91036720550921,0.0630709504170243,0.306574637233264,-4.77497128076576
"209427_at",-0.12919575690699,6.07773267196992,-1.90984863445919,0.0631395898212242,0.306841326886433,-4.77588197610856
"215672_s_at",0.140916200358484,5.7334333583527,1.90953455753455,0.0631811929673684,0.306976539963809,-4.77643344621716
"204288_s_at",-0.252683364861948,9.34216904609622,-1.90871973586836,0.0632892351031987,0.307434428781936,-4.77786379352965
"216660_at",0.110145201320404,3.96711278993404,1.90850055535221,0.063318324573661,0.307508568836016,-4.7782484586689
"214408_s_at",0.122966623000993,4.58253768684158,1.90839675041451,0.063332105481871,0.307508568836016,-4.7784306250626
"220430_at",0.173530403523186,5.58869988076788,1.90798881815536,0.0633862865342985,0.307681334917947,-4.77914642186264
"212409_s_at",-0.185128484198948,7.00415962544897,-1.90789625170677,0.0633985866197402,0.307681334917947,-4.77930883001119
"206048_at",0.133708047801431,4.24359166055929,1.90781697882457,0.0634091219018851,0.307681334917947,-4.77944790933017
"217604_at",-0.222485672294499,7.29194499427708,-1.90755025561695,0.0634445801454418,0.307752224195478,-4.77991582315404
"201241_at",-0.163146266258263,11.171222061276,-1.907499264471,0.0634513608533388,0.307752224195478,-4.78000527095896
"206224_at",0.0862219100709583,4.28174035784002,1.90690675260452,0.0635301975029774,0.308067524983419,-4.78104449905264
"217744_s_at",0.301662937987039,11.0383950438857,1.90656373813182,0.063575875613625,0.308221932762726,-4.78164600155106
"219528_s_at",-0.107705421332349,4.01839186876748,-1.9059848320439,0.0636530304277464,0.308489179956574,-4.78266095362365
"201983_s_at",-0.291614744000132,8.33197712293489,-1.90594234949477,0.0636586955272421,0.308489179956574,-4.7827354249254
"221794_at",-0.186891004600586,6.5691560281885,-1.90576210390164,0.0636827362981965,0.308538563835347,-4.78305137747666
"209751_s_at",0.268256536496532,8.42266651184501,1.90543551489344,0.0637263158457408,0.308682569709843,-4.78362379194724
"216747_at",0.120339595916042,4.48130836896611,1.90526726765852,0.063748776469082,0.30872423769603,-4.78391864792513
"208480_s_at",-0.248968835840044,6.48214458902319,-1.90465756268064,0.0638302274962477,0.309051505745253,-4.78498698370336
"203346_s_at",-0.174476972133711,7.3510020511911,-1.90443220091159,0.0638603563200129,0.309130195076255,-4.78538179434859
"221905_at",-0.207600667010413,7.04373964521739,-1.90403305457357,0.0639137484434889,0.30932143690541,-4.78608096203487
